Bomb Blasts Occurred,Building condition satisfactory,Color By Measure Value,Analysis Level Selector,Complete Primary Schools,Drinking water,Education score
41,30.02832861,95.22637174,AJK,325,30.87818697,64.89409293
41,48.51936219,87.50110629,AJK,246,30.523918,74.48360991
41,13.76811594,63.36633663,AJK,262,39.13043478,47.57908416
41,6.417112299,89.23416789,AJK,158,27.80748663,53.02104197
41,47.16732543,89.24691358,AJK,449,17.12779974,69.42839506
41,67.63990268,91.51741539,AJK,255,43.30900243,71.77102051
41,20.65217391,81.63689283,AJK,603,33.38509317,55.98838988
41,29.76744186,69.22055967,AJK,160,44.65116279,67.31347325
41,17.66784452,87.40318706,AJK,476,9.893992933,82.93829677
41,61.64772727,92.12651142,AJK,251,8.806818182,74.76496119
41,5.660377358,46.86350484,Balochistan,52,54.71698113,47.97837621
41,31.52364273,61.78773858,Balochistan,0,64.44833625,43.24068464
41,5.670103093,69.58766046,Balochistan,73,100,52.74691512
41,5.357142857,44.62528431,Balochistan,180,78.92857143,25.72298774
41,9.047619048,67.4108143,Balochistan,53,77.14285714,58.85270358
41,17.21854305,75.24629419,Balochistan,41,96.02649007,65.60324021
41,7.850241546,70.39449675,Balochistan,71,78.74396135,52.53404086
41,4.60251046,57.7947272,Balochistan,48,100,66.4799318
41,5.39083558,48.91666476,Balochistan,88,77.35849057,46.83749952
41,9.549071618,87.05213892,Balochistan,91,82.22811671,59.2797014
41,14.84536083,75.7494258,Balochistan,225,49.07216495,59.08943978
41,20.57142857,78.47170906,Balochistan,10,44,52.4012606
41,14.33506045,87.51522843,Balochistan,203,70.63903282,50.99339044
41,23.02158273,30.91688545,Balochistan,85,41.2470024,40.7938047
41,21.16104869,46.68646735,Balochistan,17,47.75280899,51.1882835
41,25.93582888,37.33255043,Balochistan,0,43.31550802,34.45605427
41,6.846473029,68.12652166,Balochistan,188,78.63070539,43.38371375
41,3.583061889,85.4216716,Balochistan,0,54.56026059,39.7054179
41,23.7458194,61.48175448,Balochistan,119,90.96989967,52.92252195
41,9.375,59.67430025,Balochistan,0,89.0625,31.51232506
41,2.600472813,45.73664122,Balochistan,0,81.56028369,44.71957697
41,3.289473684,82.80642224,Balochistan,87,53.28947368,51.42452223
41,17.62589928,68.30014196,Balochistan,190,93.52517986,50.97086882
41,12.63297872,72.16566557,Balochistan,120,95.07978723,52.53933306
41,12.12871287,86.65940487,Balochistan,293,94.05940594,66.32943455
41,25.30864198,48.79450519,Balochistan,2,90.12345679,45.7923763
41,1.941747573,93.83975288,Balochistan,76,85.4368932,61.37035489
41,41.30434783,75.07069672,Balochistan,27,39.85507246,48.93434085
41,7.77385159,71.07197913,Balochistan,45,80.91872792,39.63466145
41,17.56756757,74.63421162,Balochistan,39,17.11711712,56.07938624
41,14.38979964,55.8017181,FATA,467,24.95446266,48.80876286
41,1.840490798,80.40607529,FATA,322,56.44171779,54.34318549
41,40.16393443,36.27707943,FATA,117,45.90163934,27.99426986
41,6.896551724,22.84692089,FATA,139,44.82758621,15.21173022
41,3.571428571,86.2480916,FATA,94,23.80952381,51.07868957
41,23.4375,69.20867714,FATA,143,63.28125,49.36050262
41,29.19254658,62.03333333,FATA,157,44.09937888,51.88333333
41,10.84165478,74.20202167,FATA,588,3.138373752,48.56717209
41,34.46808511,57.44777411,FATA,466,41.70212766,15.36194353
41,7.186858316,83.06743373,FATA,472,28.33675565,49.36685843
41,19.57950066,63.29933257,FATA,690,58.21287779,26.32483314
41,32.93269231,71.20807473,FATA,403,14.42307692,49.89785202
41,3.195488722,34.91490014,FATA,578,17.85714286,8.728725034
41,20.86956522,45.56486727,GB,42,28.69565217,44.47871682
41,9.239130435,29.57368135,GB,0,2.717391304,36.56425367
41,22.10526316,89.61046216,GB,54,32.10526316,75.99844887
41,38.67403315,60.81293456,GB,43,49.72375691,48.02823364
41,17.1641791,89.85558755,GB,63,52.98507463,76.96806356
41,17.39130435,81.29697152,GB,38,64.13043478,78.48257621
41,13.02211302,70.66104285,GB,202,23.58722359,64.77776071
41,0,94.4033604,ICT,190,98,82.6695901
41,70.27027027,94.02674499,KP,960,60.02514142,74.61918625
41,51.37221269,77.24118098,KP,786,94.08233276,59.55404525
41,11.68831169,73.01608541,KP,349,23.80952381,54.39568802
41,53.45699831,71.889842,KP,458,62.39460371,61.1974605
41,53.45717234,74.8300835,KP,874,95.25283798,64.74502088
41,37.2456964,78.01521728,KP,280,72.30046948,77.42255432
41,42.25700165,66.29868136,KP,901,68.45140033,50.96842034
41,35.9223301,62.46604915,KP,215,69.90291262,55.47692896
41,51.25628141,92.31510241,KP,655,61.80904523,77.56419227
41,38.65435356,88.6309735,KP,677,45.11873351,69.95149337
41,48.36193448,66.18387429,KP,596,89.07956318,56.00013524
41,43.91891892,61.3689744,KP,482,66.98841699,38.00057693
41,18.13246471,56.14989037,KP,626,63.19218241,49.61247259
41,41.63330665,82.67130791,KP,887,50.92073659,64.22824364
41,45.28985507,89.3523862,KP,480,73.36956522,72.84851322
41,67.56756757,87.61390623,KP,810,42.64773248,68.22222656
41,38.25301205,84.72616538,KP,1254,88.02710843,71.28779135
41,50.79575597,78.332648,KP,666,77.5862069,65.04774533
41,70.06610009,70.74864402,KP,934,82.34183192,61.55070267
41,33.45521024,53.15823324,KP,380,17.18464351,48.27914164
41,50.9765625,84.21624251,KP,847,88.671875,67.59364396
41,40.30327215,79.8486742,KP,879,47.00718276,71.59966855
41,24.13793103,69.45394301,KP,281,67.81609195,50.27806909
41,0,0,KP,127,0,26.45416667
41,26.18135377,76.99642978,KP,557,42.9118774,72.81369078
41,64.81675393,78.94262412,Punjab,712,83.2460733,74.7273227
41,60.73298429,83.49976193,Punjab,1310,78.0104712,67.57910715
41,75.97173145,76.19278063,Punjab,1153,92.34393404,57.49402849
41,47.80526736,70.8754172,Punjab,866,95.21149242,58.56468763
41,71.44408252,92.30158133,Punjab,676,87.07926167,82.27539533
41,48.28042328,70.01004352,Punjab,439,87.03703704,62.34209421
